"","branch_office","month_tz","day_tz","day_of_week_tz","hour_tz","tiempodeses","visitor"
"49",1,11,5,"Saturday",13,0,"false"
"50",3,11,23,"Wednesday",18,682,"true"
"51",1,11,2,"Wednesday",10,0,"false"
"52",2,11,16,"Wednesday",7,0,"false"
"53",3,11,5,"Saturday",22,0,"false"
"54",3,11,14,"Monday",8,163,"true"
"55",1,11,2,"Wednesday",17,0,"false"
"56",3,11,10,"Thursday",10,0,"false"
"57",1,11,27,"Sunday",16,0,"false"
"58",3,11,24,"Thursday",15,8120,"true"
"59",3,11,15,"Tuesday",14,2203,"true"
"60",1,10,31,"Monday",18,0,"false"
"61",3,11,3,"Thursday",16,0,"false"
"62",1,11,7,"Monday",17,0,"false"
"63",2,11,9,"Wednesday",12,736,"true"
"64",2,11,8,"Tuesday",14,10783,"true"
"65",1,11,4,"Friday",20,9,"false"
"66",3,11,4,"Friday",19,32,"false"
"67",1,11,7,"Monday",18,60,"false"
"68",1,10,31,"Monday",11,0,"false"
"69",3,11,7,"Monday",16,0,"false"
"70",3,11,6,"Sunday",6,104,"true"
"71",3,11,8,"Tuesday",8,0,"false"
"72",1,10,31,"Monday",21,0,"false"
"73",3,11,27,"Sunday",18,0,"false"
"74",1,10,28,"Friday",17,60,"true"
"75",2,11,24,"Thursday",12,42,"false"
"76",1,10,28,"Friday",15,0,"false"
"77",1,11,13,"Sunday",16,0,"false"
"78",3,11,8,"Tuesday",5,0,"false"
"79",3,11,2,"Wednesday",17,0,"false"
"80",3,11,9,"Wednesday",15,0,"false"
"81",3,11,15,"Tuesday",18,0,"false"
"82",1,10,27,"Thursday",18,0,"false"
"83",2,11,7,"Monday",15,10193,"true"
"84",3,11,8,"Tuesday",11,0,"false"
"85",1,10,27,"Thursday",11,87,"true"
"86",3,11,8,"Tuesday",10,0,"false"
"87",3,11,6,"Sunday",9,12174,"true"
"88",3,11,27,"Sunday",14,0,"false"
"89",2,11,13,"Sunday",15,73,"false"
"90",1,11,3,"Thursday",9,8282,"true"
"91",3,11,8,"Tuesday",18,0,"false"
"92",3,11,2,"Wednesday",20,1973,"true"
"93",1,10,27,"Thursday",14,4442,"true"
"94",2,11,10,"Thursday",4,0,"false"
"95",1,11,14,"Monday",16,0,"false"
"96",1,11,15,"Tuesday",8,16,"false"
"97",1,11,5,"Saturday",22,1944,"true"
"98",2,11,8,"Tuesday",16,0,"false"
"99",3,11,30,"Wednesday",6,0,"false"
"100",3,11,12,"Saturday",12,0,"false"
"101",1,11,3,"Thursday",9,31,"false"
"102",2,11,7,"Monday",8,0,"false"
"103",3,11,24,"Thursday",12,0,"false"
"104",3,11,8,"Tuesday",18,0,"false"
"105",3,11,24,"Thursday",8,0,"false"
"106",1,11,6,"Sunday",13,484,"true"
"107",1,11,10,"Thursday",17,376,"true"
"108",1,11,15,"Tuesday",8,0,"false"
"109",1,11,5,"Saturday",16,0,"false"
"110",1,10,26,"Wednesday",19,1280,"true"
"111",1,11,7,"Monday",20,21845,"true"
"112",1,11,12,"Saturday",14,591,"true"
"113",3,11,19,"Saturday",16,1788,"true"
"114",3,11,23,"Wednesday",19,0,"false"
"115",3,11,17,"Thursday",7,0,"false"
"116",1,10,29,"Saturday",19,222,"true"
"117",1,11,1,"Tuesday",17,207,"true"
"118",3,11,4,"Friday",9,12,"false"
"119",3,11,12,"Saturday",17,7040,"true"
"120",1,11,7,"Monday",19,67,"false"
"121",1,11,15,"Tuesday",16,81,"true"
"122",1,11,16,"Wednesday",22,3584,"true"
"123",1,11,3,"Thursday",8,0,"false"
"124",3,11,23,"Wednesday",18,0,"false"
"125",3,11,5,"Saturday",22,0,"false"
"126",1,10,25,"Tuesday",9,0,"false"
"127",1,11,7,"Monday",22,0,"false"
"128",3,11,24,"Thursday",13,80,"true"
"129",1,11,1,"Tuesday",13,0,"false"
"130",1,10,29,"Saturday",7,4978,"true"
"131",1,11,6,"Sunday",4,0,"false"
"132",1,11,1,"Tuesday",16,1551,"true"
"133",1,11,9,"Wednesday",9,0,"false"
"134",1,11,1,"Tuesday",9,247,"true"
"135",1,11,17,"Thursday",17,0,"false"
"136",1,10,29,"Saturday",12,0,"false"
"137",3,11,8,"Tuesday",9,125,"true"
"138",3,11,15,"Tuesday",7,0,"false"
"139",1,11,12,"Saturday",11,0,"false"
"140",3,11,6,"Sunday",16,0,"false"
"141",3,11,9,"Wednesday",8,0,"false"
"142",3,11,10,"Thursday",14,0,"false"
"143",2,11,29,"Tuesday",9,0,"false"
"144",1,10,31,"Monday",20,0,"false"
"145",2,11,15,"Tuesday",8,0,"false"
"146",1,11,3,"Thursday",8,0,"false"
"147",1,11,7,"Monday",17,15,"false"
"148",2,11,28,"Monday",11,102,"true"
"149",3,11,13,"Sunday",16,138,"true"
"150",1,10,30,"Sunday",13,0,"false"
"151",1,10,29,"Saturday",12,68015,"true"
"152",2,11,12,"Saturday",20,0,"false"
"153",1,11,12,"Saturday",18,0,"false"
"154",1,10,26,"Wednesday",21,22,"false"
"155",3,11,28,"Monday",13,0,"false"
"156",1,11,11,"Friday",13,93,"true"
"157",1,10,31,"Monday",18,0,"false"
"158",1,11,15,"Tuesday",8,0,"false"
"159",3,11,29,"Tuesday",15,0,"false"
"160",3,11,14,"Monday",13,8140,"true"
"161",3,11,9,"Wednesday",22,0,"false"
"162",1,11,7,"Monday",10,0,"false"
"163",3,11,16,"Wednesday",13,0,"false"
"164",2,11,12,"Saturday",15,104,"true"
"165",3,11,8,"Tuesday",16,252,"true"
"166",1,11,16,"Wednesday",1,1107,"true"
"167",2,11,8,"Tuesday",17,0,"false"
"168",1,11,12,"Saturday",11,61,"true"
"169",3,11,9,"Wednesday",7,0,"false"
"170",1,10,26,"Wednesday",23,0,"false"
"171",1,11,30,"Wednesday",14,0,"false"
"172",1,11,28,"Monday",15,0,"false"
"173",3,11,5,"Saturday",10,14622,"true"
"174",1,10,29,"Saturday",19,2636,"true"
"175",1,11,1,"Tuesday",22,0,"false"
"176",3,11,16,"Wednesday",8,0,"false"
"177",1,11,23,"Wednesday",19,0,"false"
"178",1,11,10,"Thursday",13,0,"false"
"179",1,11,3,"Thursday",9,0,"false"
"180",2,11,10,"Thursday",13,8600,"true"
"181",3,11,7,"Monday",21,0,"false"
"182",3,11,10,"Thursday",11,2246,"true"
"183",1,10,29,"Saturday",23,34,"false"
"184",2,11,16,"Wednesday",19,0,"false"
"185",3,11,2,"Wednesday",20,297,"true"
"186",1,11,7,"Monday",9,19,"false"
"187",1,11,7,"Monday",22,0,"false"
"188",1,11,17,"Thursday",6,0,"false"
"189",1,10,27,"Thursday",22,0,"false"
"190",3,11,2,"Wednesday",19,469,"true"
"191",1,11,5,"Saturday",16,0,"false"
"192",1,11,30,"Wednesday",12,0,"false"
"193",3,11,28,"Monday",20,0,"false"
"194",1,11,11,"Friday",15,45,"true"
"195",1,11,7,"Monday",14,89,"true"
"196",1,10,27,"Thursday",12,0,"false"
"197",1,11,2,"Wednesday",12,0,"false"
"198",3,11,11,"Friday",23,0,"false"
"199",1,11,6,"Sunday",1,652,"true"
"200",3,11,2,"Wednesday",18,0,"false"
"201",3,11,8,"Tuesday",6,0,"false"
"202",3,11,28,"Monday",8,0,"false"
"203",3,11,4,"Friday",12,0,"false"
"204",3,11,12,"Saturday",20,0,"false"
"205",2,11,14,"Monday",1,1873,"true"
"206",3,11,8,"Tuesday",19,0,"false"
"207",3,11,23,"Wednesday",21,0,"false"
"208",3,11,4,"Friday",19,16,"false"
"209",3,11,15,"Tuesday",5,0,"false"
"210",3,11,2,"Wednesday",22,0,"false"
"211",3,11,16,"Wednesday",16,0,"false"
"212",1,11,3,"Thursday",5,2294,"true"
"213",3,11,23,"Wednesday",22,482,"true"
"214",3,11,2,"Wednesday",21,17989,"true"
"215",1,11,4,"Friday",9,0,"false"
"216",3,11,28,"Monday",10,0,"false"
"217",3,11,29,"Tuesday",12,0,"false"
"218",3,11,12,"Saturday",18,0,"false"
"219",3,11,29,"Tuesday",22,0,"false"
"220",2,11,5,"Saturday",13,44,"false"
"221",3,11,10,"Thursday",8,0,"false"
"222",3,11,28,"Monday",0,0,"false"
"223",3,11,2,"Wednesday",19,0,"false"
"224",1,11,7,"Monday",11,840,"true"
"225",1,11,29,"Tuesday",14,0,"false"
"226",3,11,5,"Saturday",21,744,"true"
"227",3,11,30,"Wednesday",6,0,"false"
"228",1,10,28,"Friday",19,107,"true"
"229",3,11,8,"Tuesday",18,0,"false"
"230",3,11,16,"Wednesday",22,0,"false"
"231",1,11,28,"Monday",8,0,"false"
"232",1,11,19,"Saturday",18,0,"false"
"233",1,11,28,"Monday",20,0,"false"
"234",1,11,5,"Saturday",13,0,"false"
"235",1,11,28,"Monday",13,0,"false"
"236",3,11,7,"Monday",8,0,"false"
"237",1,11,1,"Tuesday",11,0,"false"
"238",1,10,26,"Wednesday",15,777,"true"
"239",3,11,11,"Friday",19,0,"false"
"240",1,11,9,"Wednesday",11,0,"false"
"241",3,11,15,"Tuesday",17,1452,"true"
"242",3,11,15,"Tuesday",16,11226,"true"
"243",2,11,10,"Thursday",14,0,"false"
"244",1,10,24,"Monday",14,0,"false"
"245",3,11,5,"Saturday",0,0,"false"
"246",3,11,15,"Tuesday",11,0,"false"
"247",1,10,28,"Friday",23,60,"true"
"248",3,11,5,"Saturday",21,0,"false"
"249",2,11,4,"Friday",18,10968,"true"
"250",1,11,3,"Thursday",20,71,"true"
"251",1,11,4,"Friday",3,0,"false"
"252",3,11,16,"Wednesday",6,11,"false"
"253",2,11,11,"Friday",21,1572,"true"
"254",3,11,5,"Saturday",17,0,"false"
"255",3,11,10,"Thursday",9,0,"false"
"256",1,11,17,"Thursday",6,0,"false"
"257",3,11,10,"Thursday",13,250,"true"
"258",3,11,3,"Thursday",23,0,"false"
"259",3,11,30,"Wednesday",8,0,"false"
"260",1,10,30,"Sunday",9,0,"false"
"261",3,11,16,"Wednesday",21,0,"false"
"262",3,11,27,"Sunday",20,0,"false"
"263",1,11,3,"Thursday",12,0,"false"
"264",1,11,24,"Thursday",10,60343,"true"
"265",1,10,30,"Sunday",10,0,"false"
"266",1,10,31,"Monday",17,55,"false"
"267",1,11,29,"Tuesday",19,24283,"true"
"268",1,11,15,"Tuesday",8,50,"false"
"269",1,10,28,"Friday",15,1738,"true"
"270",1,11,24,"Thursday",1,761,"true"
"271",1,10,27,"Thursday",12,0,"false"
"272",1,10,28,"Friday",10,37,"false"
"273",3,11,5,"Saturday",17,0,"false"
"274",3,11,5,"Saturday",19,231,"true"
"275",1,11,10,"Thursday",6,0,"false"
"276",1,11,24,"Thursday",6,13437,"true"
"277",3,11,10,"Thursday",7,0,"false"
"278",1,10,31,"Monday",12,423,"true"
"279",1,11,9,"Wednesday",15,18087,"true"
"280",1,10,28,"Friday",21,31,"false"
"281",3,11,8,"Tuesday",17,0,"false"
"282",1,10,31,"Monday",20,346,"true"
"283",3,11,7,"Monday",9,0,"false"
"284",1,11,13,"Sunday",18,92,"true"
"285",3,11,29,"Tuesday",17,23684,"true"
"286",3,11,2,"Wednesday",18,0,"false"
"287",2,11,5,"Saturday",17,0,"false"
"288",1,11,7,"Monday",11,0,"false"
"289",1,11,13,"Sunday",10,1002,"true"
"290",1,10,27,"Thursday",23,699,"true"
"291",3,11,5,"Saturday",21,0,"false"
"292",3,11,4,"Friday",18,0,"false"
"293",1,10,27,"Thursday",19,0,"false"
"294",1,11,7,"Monday",10,0,"false"
"295",1,11,3,"Thursday",16,1719,"true"
"296",1,11,16,"Wednesday",6,0,"false"
"297",1,10,28,"Friday",17,60,"true"
"298",1,11,7,"Monday",10,41,"false"
"299",1,11,5,"Saturday",15,0,"false"
"300",3,11,9,"Wednesday",11,0,"false"
"301",1,11,29,"Tuesday",14,538,"true"
"302",3,11,17,"Thursday",8,0,"false"
"303",1,10,30,"Sunday",17,121,"true"
"304",3,11,15,"Tuesday",8,0,"false"
"305",1,11,12,"Saturday",13,0,"false"
"306",2,11,17,"Thursday",9,0,"false"
"307",1,11,4,"Friday",20,1507,"true"
"308",1,11,10,"Thursday",11,0,"false"
"309",1,10,28,"Friday",16,0,"false"
"310",3,11,29,"Tuesday",8,0,"false"
"311",1,11,13,"Sunday",18,22286,"true"
"312",3,11,15,"Tuesday",20,0,"false"
"313",1,10,28,"Friday",13,496,"true"
"314",1,11,12,"Saturday",12,93,"true"
"315",1,11,29,"Tuesday",8,0,"false"
"316",2,11,7,"Monday",8,0,"false"
"317",3,11,9,"Wednesday",18,51,"false"
"318",3,11,2,"Wednesday",21,21274,"true"
"319",3,11,2,"Wednesday",10,84,"false"
"320",1,10,31,"Monday",17,2774,"true"
"321",1,11,7,"Monday",19,0,"false"
"322",1,11,13,"Sunday",19,7800,"true"
"323",1,10,24,"Monday",17,45,"false"
"324",3,11,28,"Monday",19,0,"false"
"325",1,11,1,"Tuesday",23,0,"false"
"326",1,11,5,"Saturday",3,126,"true"
"327",1,10,29,"Saturday",3,2615,"true"
"328",1,11,24,"Thursday",3,0,"false"
"329",3,11,3,"Thursday",18,0,"false"
"330",1,11,6,"Sunday",13,1505,"true"
"331",1,11,29,"Tuesday",20,6476,"true"
"332",1,11,5,"Saturday",19,47,"false"
"333",3,11,3,"Thursday",22,594,"true"
"334",1,10,27,"Thursday",23,31,"false"
"335",1,10,28,"Friday",12,0,"false"
"336",2,11,28,"Monday",16,1724,"true"
"337",1,11,9,"Wednesday",20,0,"false"
"338",1,11,10,"Thursday",14,0,"false"
"339",1,11,12,"Saturday",20,45,"false"
"340",1,10,30,"Sunday",9,60,"false"
"341",3,11,14,"Monday",14,0,"false"
"342",2,11,9,"Wednesday",22,9005,"true"
"343",1,10,28,"Friday",9,0,"false"
"344",3,11,9,"Wednesday",18,0,"false"
"345",1,11,30,"Wednesday",7,0,"false"
"346",1,11,9,"Wednesday",18,46,"false"
"347",3,11,16,"Wednesday",8,0,"false"
"348",1,11,12,"Saturday",15,29,"false"
"349",3,11,7,"Monday",15,0,"false"
"350",3,11,30,"Wednesday",9,0,"false"
"351",3,11,8,"Tuesday",14,604,"true"
"352",1,11,23,"Wednesday",19,0,"false"
"353",1,11,9,"Wednesday",15,0,"false"
"354",1,11,8,"Tuesday",18,0,"false"
"355",1,10,26,"Wednesday",23,4408,"true"
"356",1,10,26,"Wednesday",3,4800,"true"
"357",1,11,17,"Thursday",13,27766,"true"
"358",1,11,5,"Saturday",14,0,"false"
"359",3,11,6,"Sunday",11,1347,"true"
"360",3,11,28,"Monday",13,434,"true"
"361",1,11,7,"Monday",18,80,"true"
"362",1,11,19,"Saturday",15,0,"false"
"363",3,11,3,"Thursday",15,3932,"true"
"364",1,11,7,"Monday",18,30,"false"
"365",1,11,3,"Thursday",19,0,"false"
"366",3,11,27,"Sunday",16,0,"false"
"367",1,11,16,"Wednesday",23,5603,"true"
"368",3,11,17,"Thursday",11,0,"false"
"369",1,11,15,"Tuesday",17,0,"false"
"370",1,10,30,"Sunday",18,140,"true"
"371",2,11,29,"Tuesday",13,1209,"true"
"372",1,10,28,"Friday",8,3250,"true"
"373",2,11,14,"Monday",18,0,"false"
"374",1,11,29,"Tuesday",10,180,"true"
"375",1,11,5,"Saturday",1,0,"false"
"376",3,11,6,"Sunday",8,0,"false"
"377",3,11,28,"Monday",8,9,"false"
"378",3,11,23,"Wednesday",22,45,"false"
"379",3,11,4,"Friday",7,18048,"true"
"380",1,10,28,"Friday",18,18,"false"
"381",1,11,24,"Thursday",12,0,"false"
"382",3,11,2,"Wednesday",16,0,"false"
"383",1,11,17,"Thursday",15,12179,"true"
"384",1,11,23,"Wednesday",15,1560,"true"
"385",3,11,30,"Wednesday",10,0,"false"
"386",3,11,27,"Sunday",15,0,"false"
"387",1,10,27,"Thursday",14,0,"false"
"388",2,11,17,"Thursday",12,5463,"true"
"389",1,11,7,"Monday",7,71,"false"
"390",3,11,3,"Thursday",12,0,"false"
"391",1,11,28,"Monday",0,1107,"true"
"392",1,10,28,"Friday",14,0,"false"
"393",3,11,3,"Thursday",12,0,"false"
"394",3,11,29,"Tuesday",13,0,"false"
"395",3,11,28,"Monday",8,0,"false"
"396",2,11,28,"Monday",21,3696,"true"
"397",3,11,28,"Monday",9,81,"true"
"398",3,11,10,"Thursday",6,7680,"true"
"399",3,11,11,"Friday",16,0,"false"
"400",1,11,12,"Saturday",16,1939,"true"
"401",1,11,10,"Thursday",9,30,"false"
"402",2,11,11,"Friday",14,0,"false"
"403",1,11,9,"Wednesday",8,0,"false"
"404",1,11,9,"Wednesday",20,40,"false"
"405",1,10,25,"Tuesday",23,7713,"true"
"406",3,11,29,"Tuesday",9,0,"false"
"407",3,11,5,"Saturday",14,0,"false"
"408",1,11,16,"Wednesday",15,0,"false"
"409",1,11,16,"Wednesday",7,0,"false"
"410",1,11,17,"Thursday",9,62589,"true"
"411",1,10,30,"Sunday",11,0,"false"
"412",1,11,15,"Tuesday",9,20,"false"
"413",1,10,28,"Friday",12,0,"false"
"414",3,11,8,"Tuesday",23,0,"false"
"415",1,10,27,"Thursday",0,0,"false"
"416",3,11,16,"Wednesday",12,0,"false"
"417",3,11,14,"Monday",17,11338,"true"
"418",3,11,24,"Thursday",8,0,"false"
"419",2,11,16,"Wednesday",20,5879,"true"
"420",1,11,8,"Tuesday",7,0,"false"
"421",1,11,16,"Wednesday",17,138,"true"
"422",1,11,3,"Thursday",20,0,"false"
"423",1,10,31,"Monday",15,3711,"true"
"424",3,11,5,"Saturday",12,2633,"true"
"425",3,11,10,"Thursday",9,0,"false"
"426",3,11,23,"Wednesday",23,35294,"true"
"427",2,11,3,"Thursday",19,0,"false"
"428",2,11,10,"Thursday",7,0,"false"
"429",3,11,12,"Saturday",20,87,"true"
"430",3,11,14,"Monday",15,0,"false"
"431",2,11,28,"Monday",16,0,"false"
"432",1,11,8,"Tuesday",17,6937,"true"
"433",3,11,12,"Saturday",14,242,"true"
"434",3,11,29,"Tuesday",20,0,"false"
"435",3,11,5,"Saturday",21,1315,"true"
"436",1,11,17,"Thursday",16,0,"false"
"437",3,11,8,"Tuesday",18,0,"false"
"438",3,11,16,"Wednesday",14,53,"false"
"439",1,10,28,"Friday",4,0,"false"
"440",3,11,5,"Saturday",20,0,"false"
"441",1,10,31,"Monday",19,0,"false"
"442",1,10,27,"Thursday",8,0,"false"
"443",1,11,12,"Saturday",15,0,"false"
"444",3,11,6,"Sunday",11,208,"true"
"445",1,11,8,"Tuesday",20,0,"false"
"446",2,11,8,"Tuesday",21,992,"true"
"447",1,11,4,"Friday",15,1869,"true"
"448",3,11,8,"Tuesday",10,0,"false"
"449",3,11,7,"Monday",22,0,"false"
"450",1,10,26,"Wednesday",21,27,"false"
"451",3,11,14,"Monday",14,0,"false"
"452",1,11,9,"Wednesday",17,0,"false"
"453",3,11,19,"Saturday",13,0,"false"
"454",1,11,15,"Tuesday",18,63,"false"
"455",1,10,27,"Thursday",23,0,"false"
"456",1,11,11,"Friday",12,0,"false"
"457",3,11,6,"Sunday",15,0,"false"
"458",3,11,17,"Thursday",14,1624,"true"
"459",3,11,8,"Tuesday",18,0,"false"
"460",2,11,8,"Tuesday",8,692,"true"
"461",3,11,28,"Monday",5,0,"false"
"462",3,11,28,"Monday",10,0,"false"
"463",3,11,16,"Wednesday",18,5547,"true"
"464",3,11,19,"Saturday",15,0,"false"
"465",1,10,27,"Thursday",11,28,"false"
"466",1,11,3,"Thursday",15,0,"false"
"467",1,11,7,"Monday",22,21475,"true"
"468",3,11,11,"Friday",12,0,"false"
"469",1,11,5,"Saturday",11,115,"true"
"470",1,10,28,"Friday",10,0,"false"
"471",2,11,13,"Sunday",15,27733,"true"
"472",1,11,3,"Thursday",17,0,"false"
"473",3,11,29,"Tuesday",23,0,"false"
"474",2,11,9,"Wednesday",17,154,"true"
"475",3,11,29,"Tuesday",12,0,"false"
"476",1,11,10,"Thursday",13,8,"false"
"477",1,11,7,"Monday",12,154,"true"
"478",1,10,28,"Friday",13,21,"false"
"479",1,11,2,"Wednesday",17,0,"false"
"480",1,11,1,"Tuesday",7,0,"false"
"481",3,11,13,"Sunday",15,0,"false"
"482",1,10,28,"Friday",17,0,"false"
"483",3,11,27,"Sunday",17,5854,"true"
"484",1,11,12,"Saturday",23,0,"false"
"485",2,11,13,"Sunday",14,1762,"true"
"486",3,11,16,"Wednesday",10,0,"false"
"487",3,11,4,"Friday",22,0,"false"
"488",1,10,28,"Friday",22,48,"true"
"489",2,11,16,"Wednesday",16,301,"true"
"490",1,11,23,"Wednesday",19,0,"false"
"491",1,11,10,"Thursday",5,12480,"true"
"492",1,11,14,"Monday",7,0,"false"
"493",2,11,9,"Wednesday",14,52,"true"
"494",3,11,8,"Tuesday",8,0,"false"
"495",2,11,27,"Sunday",16,0,"false"
"496",1,11,7,"Monday",13,0,"false"
"497",2,11,10,"Thursday",16,3343,"true"
"498",3,11,13,"Sunday",22,0,"false"
"499",1,11,8,"Tuesday",18,0,"false"
"500",1,10,29,"Saturday",21,10014,"true"
"501",1,11,4,"Friday",17,0,"false"
"502",1,11,6,"Sunday",11,21,"false"
"503",3,11,4,"Friday",7,346,"true"
"504",2,11,3,"Thursday",10,13204,"true"
"505",1,11,4,"Friday",15,51,"true"
"506",1,10,27,"Thursday",16,68048,"true"
"507",3,11,8,"Tuesday",14,2336,"true"
"508",1,10,25,"Tuesday",1,0,"false"
"509",3,11,27,"Sunday",16,0,"false"
"510",2,11,8,"Tuesday",16,2461,"true"
"511",1,11,5,"Saturday",11,222,"true"
"512",1,11,13,"Sunday",17,0,"false"
"513",3,11,14,"Monday",19,0,"false"
"514",3,11,23,"Wednesday",18,5,"false"
"515",3,11,5,"Saturday",10,0,"false"
"516",1,10,31,"Monday",9,184,"true"
"517",2,11,5,"Saturday",19,5168,"true"
"518",3,11,9,"Wednesday",15,0,"false"
"519",1,11,5,"Saturday",16,0,"false"
"520",3,11,16,"Wednesday",8,0,"false"
"521",1,11,13,"Sunday",14,19,"false"
"522",1,11,30,"Wednesday",16,16,"false"
"523",2,11,9,"Wednesday",11,2164,"true"
"524",1,11,28,"Monday",11,0,"false"
"525",1,10,30,"Sunday",20,0,"false"
"526",1,11,29,"Tuesday",16,44,"false"
"527",1,11,9,"Wednesday",14,1829,"true"
"528",1,11,16,"Wednesday",14,0,"false"
"529",3,11,19,"Saturday",13,0,"false"
"530",1,11,11,"Friday",18,2480,"true"
"531",1,11,14,"Monday",18,0,"false"
"532",3,11,30,"Wednesday",8,0,"false"
"533",1,11,2,"Wednesday",5,10201,"true"
"534",1,11,14,"Monday",11,0,"false"
"535",3,11,28,"Monday",4,0,"false"
"536",3,11,12,"Saturday",20,136,"true"
"537",1,11,4,"Friday",12,1766,"true"
"538",1,11,4,"Friday",12,0,"false"
"539",3,11,12,"Saturday",20,0,"false"
"540",1,10,26,"Wednesday",19,0,"false"
"541",3,11,27,"Sunday",13,0,"false"
"542",3,11,3,"Thursday",11,0,"false"
"543",3,11,2,"Wednesday",8,439,"true"
"544",3,11,4,"Friday",21,280,"true"
"545",1,11,1,"Tuesday",17,0,"false"
"546",3,11,11,"Friday",13,0,"false"
"547",2,11,28,"Monday",16,0,"false"
"548",2,11,29,"Tuesday",14,11770,"true"
"549",3,11,12,"Saturday",3,504,"true"
"550",1,10,31,"Monday",11,11,"false"
"551",3,11,6,"Sunday",15,6760,"true"
"552",1,11,8,"Tuesday",7,0,"false"
"553",3,11,11,"Friday",12,0,"false"
"554",3,11,5,"Saturday",9,0,"false"
"555",1,11,8,"Tuesday",21,20,"false"
"556",1,11,1,"Tuesday",15,0,"false"
"557",1,11,1,"Tuesday",11,0,"false"
"558",1,10,27,"Thursday",0,26695,"true"
"559",1,11,1,"Tuesday",11,1260,"true"
"560",3,11,30,"Wednesday",14,451,"true"
"561",3,11,6,"Sunday",21,438,"true"
"562",2,11,7,"Monday",16,1463,"true"
"563",1,10,31,"Monday",11,2696,"true"
"564",3,11,8,"Tuesday",18,0,"false"
"565",1,11,16,"Wednesday",14,23,"false"
"566",1,11,5,"Saturday",12,0,"false"
"567",1,10,28,"Friday",9,0,"false"
"568",1,11,16,"Wednesday",9,0,"false"
"569",1,11,1,"Tuesday",18,0,"false"
"570",2,11,27,"Sunday",13,0,"false"
"571",1,11,29,"Tuesday",17,0,"false"
"572",3,11,29,"Tuesday",18,34429,"true"
"573",3,11,27,"Sunday",19,0,"false"
"574",2,11,27,"Sunday",17,60,"false"
"575",1,11,15,"Tuesday",9,0,"false"
"576",2,11,24,"Thursday",14,0,"false"
"577",1,10,30,"Sunday",19,1507,"true"
"578",1,10,31,"Monday",9,36,"false"
"579",1,11,7,"Monday",14,485,"true"
"580",1,11,7,"Monday",12,0,"false"
"581",3,11,28,"Monday",15,0,"false"
"582",1,10,31,"Monday",13,0,"false"
"583",3,11,29,"Tuesday",15,0,"false"
"584",2,11,8,"Tuesday",4,13077,"true"
"585",3,11,12,"Saturday",23,0,"false"
"586",2,11,9,"Wednesday",12,6299,"true"
"587",3,11,29,"Tuesday",15,0,"false"
"588",1,11,29,"Tuesday",16,46,"false"
"589",1,11,3,"Thursday",19,20,"false"
"590",1,11,16,"Wednesday",23,0,"false"
"591",3,11,11,"Friday",16,5431,"true"
"592",1,11,23,"Wednesday",15,0,"false"
"593",3,11,4,"Friday",14,0,"false"
"594",1,10,31,"Monday",13,64418,"true"
"595",1,10,28,"Friday",19,63,"true"
"596",1,10,29,"Saturday",18,0,"false"
"597",1,11,12,"Saturday",17,5199,"true"
